"question","answer"
"""What are the services of my SIM card in Hamrah-e-Aval?""","In this section, services such as SIM card management, converting prepaid to postpaid SIM, roaming, blacklist, etc., are available."
"""What is SIM card management?""","In this section, users can view their SIM cards, check their current status, and also take actions like blocking the SIM card or transferring ownership."
"""What services are included in voice calls?""","In this section, users can select their preferred ringback tone and activate voicemail for their SIM card."
"""Can users restrict their SMS reception?""","Yes, users can restrict their SMS reception in the bulk SMS services section."
"""What products can be purchased from the online store?""","In this section, products such as SIM cards, modems, and mobile phones can be purchased."
"""Can lost phones be tracked using this application?""","Yes, users can track their lost phones by going to the phone tracking section, entering their device's IMEI code, and viewing the results."
"""What are combo packages?""","Combo packages are packages where users can choose their desired amount of internet, SMS, and talk time according to their needs and purchase them together as a combination."
"""What is shop.mci.ir?""","This website is the Hamrah-e-Aval online store where users can purchase various items."
"""What items are available in the Hamrah-e-Aval online store?""","Items such as mobile phones, modems, and routers are available in the Hamrah-e-Aval online store."
"""What other services are available in the Hamrah-e-Aval online store?""","Users can purchase recharge cards and various types of SIM cards from this store."
"""How are Hamrah-e-Aval SIM cards categorized?""","In addition to prepaid and postpaid SIM cards, Hamrah-e-Aval also offers special condition SIM cards such as youth and student SIM cards."
"""What's the difference between Firouzeh and Regular plans?""","When purchasing the Firouzeh SIM card, a welcome package includes 30 GB of internet, 1800 minutes of talk time, and 3000 SMS valid for three months for active users. Whereas in the Regular plan, users get 3 GB of internet, 300 minutes of talk time, and 300 SMS for active users."
